time,open,high,low,close
2021-05-27T16:00:00-04:00,13652.25,13694,13650,13692.75
2021-05-27T18:00:00-04:00,13694.75,13697.75,13685.25,13691.5
2021-05-27T19:00:00-04:00,13691.75,13708.5,13682.75,13703
2021-05-27T20:00:00-04:00,13703.25,13716,13699,13704.5
2021-05-27T21:00:00-04:00,13704.75,13707.5,13686.25,13690.25
2021-05-27T22:00:00-04:00,13690.75,13697.25,13684.25,13693
2021-05-27T23:00:00-04:00,13693,13702.5,13693,13700.5
2021-05-28T00:00:00-04:00,13700.25,13701.75,13690.25,13695.75
2021-05-28T01:00:00-04:00,13696.5,13702,13672,13675.75
2021-05-28T02:00:00-04:00,13675,13676.25,13662.75,13676
2021-05-28T03:00:00-04:00,13675.25,13691.25,13666.75,13685.75
2021-05-28T04:00:00-04:00,13685.5,13700.25,13685.5,13697.25
2021-05-28T05:00:00-04:00,13697.5,13714.5,13691.75,13710
2021-05-28T06:00:00-04:00,13710.25,13726,13705.25,13725.75
2021-05-28T07:00:00-04:00,13725.25,13725.5,13709,13714
2021-05-28T08:00:00-04:00,13713.75,13715,13680,13686.75
2021-05-28T09:00:00-04:00,13687,13739.75,13684,13722.75
2021-05-28T10:00:00-04:00,13722.25,13732.5,13694.5,13714.75
2021-05-28T11:00:00-04:00,13715,13750,13708,13749
2021-05-28T12:00:00-04:00,13749,13763.5,13747.5,13756.5
2021-05-28T13:00:00-04:00,13756.5,13761.5,13706.75,13716.5
2021-05-28T14:00:00-04:00,13716.25,13738.5,13707.25,13731.75
2021-05-28T15:00:00-04:00,13732.25,13733,13682,13690.5
2021-05-28T16:00:00-04:00,13690.75,13699.5,13686.5,13686.5
2021-05-30T18:00:00-04:00,13699,13716.5,13695.5,13712.25
2021-05-30T19:00:00-04:00,13712.25,13719.5,13703.75,13712.5
2021-05-30T20:00:00-04:00,13712.75,13718.25,13699.75,13707
2021-05-30T21:00:00-04:00,13707.5,13712,13691.5,13705
2021-05-30T22:00:00-04:00,13704.25,13709.5,13693.5,13700.5
2021-05-30T23:00:00-04:00,13700.75,13701.75,13690.25,13698
2021-05-31T00:00:00-04:00,13697.25,13699.25,13693,13694.75
2021-05-31T01:00:00-04:00,13694.75,13703,13693.5,13697.5
2021-05-31T02:00:00-04:00,13697.75,13701.75,13693,13696.5
2021-05-31T03:00:00-04:00,13696.5,13712,13690.25,13694.25
2021-05-31T04:00:00-04:00,13693.5,13693.75,13670.75,13673
2021-05-31T05:00:00-04:00,13673.75,13683.75,13660.25,13669
2021-05-31T06:00:00-04:00,13669.25,13678.75,13657,13678.75
2021-05-31T07:00:00-04:00,13678.75,13680,13668,13672.5
2021-05-31T08:00:00-04:00,13672.5,13683.5,13663.5,13677.75
2021-05-31T09:00:00-04:00,13677.75,13680,13666.5,13673.25
2021-05-31T10:00:00-04:00,13672.75,13674,13661.5,13663.25
2021-05-31T11:00:00-04:00,13663.25,13673.5,13662,13670.75
2021-05-31T12:00:00-04:00,13670.75,13674.5,13651.5,13654.75
2021-05-31T18:00:00-04:00,13660.5,13684,13655,13682.5
2021-05-31T19:00:00-04:00,13682.5,13689.25,13677.5,13686.25
2021-05-31T20:00:00-04:00,13686,13695,13674.5,13691
2021-05-31T21:00:00-04:00,13691.25,13699.5,13672,13684.5
2021-05-31T22:00:00-04:00,13685,13695.75,13674.25,13678.25
2021-05-31T23:00:00-04:00,13679,13693,13676.5,13687.25
2021-06-01T00:00:00-04:00,13687.75,13696.25,13683,13694.25
2021-06-01T01:00:00-04:00,13694.25,13698.5,13688,13691
2021-06-01T02:00:00-04:00,13690.5,13714.5,13687,13706.75
2021-06-01T03:00:00-04:00,13706.75,13717.75,13696,13716.5
2021-06-01T04:00:00-04:00,13717,13736.5,13710.5,13734.5
2021-06-01T05:00:00-04:00,13734.75,13748,13732.25,13738
2021-06-01T06:00:00-04:00,13738.25,13746.25,13734.5,13736
2021-06-01T07:00:00-04:00,13736,13756.75,13729.5,13740
2021-06-01T08:00:00-04:00,13740,13749.5,13729.75,13740.75
2021-06-01T09:00:00-04:00,13741,13773,13705.5,13722.75
2021-06-01T10:00:00-04:00,13722.5,13732,13592.25,13614.5
2021-06-01T11:00:00-04:00,13614.75,13666.75,13601,13659.25
2021-06-01T12:00:00-04:00,13659.5,13675.5,13639.25,13664.5
2021-06-01T13:00:00-04:00,13664.25,13664.5,13636,13660.25
2021-06-01T14:00:00-04:00,13660,13693.25,13653,13689
2021-06-01T15:00:00-04:00,13689.25,13690.5,13644.75,13651
2021-06-01T16:00:00-04:00,13650.75,13656.5,13642.5,13647.5
2021-06-01T18:00:00-04:00,13653.25,13653.25,13623,13625.25
2021-06-01T19:00:00-04:00,13625,13636.75,13622.25,13634.75
2021-06-01T20:00:00-04:00,13634.75,13657.5,13625.75,13652.25
2021-06-01T21:00:00-04:00,13651.25,13658.25,13638,13646.5
2021-06-01T22:00:00-04:00,13646.25,13658,13639,13644.5
2021-06-01T23:00:00-04:00,13644.75,13653.5,13637.25,13642.25
2021-06-02T00:00:00-04:00,13643.25,13643.5,13635.25,13641
2021-06-02T01:00:00-04:00,13640.5,13661,13638.25,13649.25
2021-06-02T02:00:00-04:00,13648.5,13649,13632,13644.25
2021-06-02T03:00:00-04:00,13644.75,13655.75,13616.75,13630.75
2021-06-02T04:00:00-04:00,13630,13642.5,13618.5,13624.75
2021-06-02T05:00:00-04:00,13624,13640.5,13621,13638
2021-06-02T06:00:00-04:00,13637.5,13646.75,13629.5,13644.75
2021-06-02T07:00:00-04:00,13644.75,13658,13639.25,13653.25
2021-06-02T08:00:00-04:00,13653.75,13673.5,13648.75,13670.25
2021-06-02T09:00:00-04:00,13670.5,13708.5,13651.75,13679
2021-06-02T10:00:00-04:00,13679,13712.75,13657.5,13684.25
2021-06-02T11:00:00-04:00,13684.5,13706,13676,13695.75
2021-06-02T12:00:00-04:00,13696.25,13699,13656,13669.75
2021-06-02T13:00:00-04:00,13669.75,13675.75,13613.25,13628
2021-06-02T14:00:00-04:00,13627.75,13640.75,13603.25,13636.75
2021-06-02T15:00:00-04:00,13636.75,13678,13626,13674.25
2021-06-02T16:00:00-04:00,13674,13678.5,13663,13677
2021-06-02T18:00:00-04:00,13679.5,13687,13676,13680
2021-06-02T19:00:00-04:00,13679.25,13689,13672.75,13686.5
2021-06-02T20:00:00-04:00,13687,13707.75,13682.5,13703.75
2021-06-02T21:00:00-04:00,13704,13704.25,13691,13696.25
2021-06-02T22:00:00-04:00,13696.25,13700.5,13680.25,13689.75
2021-06-02T23:00:00-04:00,13689.5,13692,13683.25,13688.25
2021-06-03T00:00:00-04:00,13688,13692.25,13685.25,13685.5
2021-06-03T01:00:00-04:00,13685.5,13697.25,13683.25,13693
2021-06-03T02:00:00-04:00,13692.75,13695.75,13653.75,13662.5
2021-06-03T03:00:00-04:00,13663.5,13665.25,13647,13655.25
2021-06-03T04:00:00-04:00,13654.25,13668.75,13649.25,13667
2021-06-03T05:00:00-04:00,13666.5,13666.5,13631,13642.75
2021-06-03T06:00:00-04:00,13642.75,13644.75,13568.25,13578
2021-06-03T07:00:00-04:00,13578.25,13581.25,13518.25,13533.5
2021-06-03T08:00:00-04:00,13533.25,13561,13511,13545.5
2021-06-03T09:00:00-04:00,13545.75,13569.75,13462.25,13497
2021-06-03T10:00:00-04:00,13497,13579,13480.25,13578.75
2021-06-03T11:00:00-04:00,13578.75,13609.5,13527,13550.75
2021-06-03T12:00:00-04:00,13550.5,13579.75,13532.75,13579
2021-06-03T13:00:00-04:00,13579,13594,13545.25,13566.5
2021-06-03T14:00:00-04:00,13566.25,13574.25,13532,13533.5
2021-06-03T15:00:00-04:00,13533.5,13554,13519.5,13528.25
2021-06-03T16:00:00-04:00,13528,13536,13517.25,13530.25
2021-06-03T18:00:00-04:00,13531.75,13541.75,13516,13524.5
2021-06-03T19:00:00-04:00,13524,13528.25,13501,13503.5
2021-06-03T20:00:00-04:00,13504,13504,13467.75,13489.5
2021-06-03T21:00:00-04:00,13489.75,13511.25,13487.5,13505
2021-06-03T22:00:00-04:00,13504.5,13517.5,13502,13511.5
2021-06-03T23:00:00-04:00,13512,13533,13508,13529.5
2021-06-04T00:00:00-04:00,13529.5,13530.75,13517.25,13521.75
2021-06-04T01:00:00-04:00,13522.25,13531.75,13499.25,13502.75
