Time,Open,High,Low,Close,Volume
2023-08-07 06:00:00,15331.717,15338.589,15322.689,15330.699,60,3353
2023-08-07 07:00:00,15330.699,15358.589,15309.919,15357.219,60,3358
2023-08-07 08:00:00,15357.299,15391.289,15292.709,15305.939,60,3375
2023-08-07 09:00:00,15306.399,15362.389,15284.819,15312.939,55,1353
2023-08-07 10:00:00,15313.169,15336.999,15253.409,15333.709,58,1346
2023-08-07 11:00:00,15333.939,15347.399,15310.499,15342.959,60,1362
2023-08-07 12:00:00,15343.109,15366.189,15329.109,15365.199,60,1365
2023-08-07 13:00:00,15365.179,15379.599,15339.749,15367.889,60,1361
2023-08-07 14:00:00,15368.629,15409.689,15354.229,15405.259,60,1349
2023-08-07 15:00:00,15404.149,15409.559,15398.729,15406.479,15,1351
2023-08-07 17:00:00,15414.059,15415.199,15398.619,15403.109,60,3442
2023-08-07 18:00:00,15403.037,15406.619,15399.219,15405.259,60,3363
2023-08-07 19:00:00,15405.439,15409.689,15391.909,15396.959,60,3333
2023-08-07 20:00:00,15396.629,15397.489,15344.719,15346.949,60,3385
2023-08-07 21:00:00,15345.969,15364.279,15338.149,15360.279,60,3364
2023-08-07 22:00:00,15360.237,15367.299,15346.539,15351.299,60,3359
2023-08-07 23:00:00,15351.389,15363.789,15348.759,15359.529,60,3373
2023-08-08 00:00:00,15360.289,15362.689,15326.209,15329.949,60,3362
2023-08-08 01:00:00,15330.089,15335.479,15319.439,15322.819,58,3352
2023-08-08 02:00:00,15322.727,15357.389,15322.727,15356.139,59,3361
2023-08-08 03:00:00,15356.309,15362.299,15327.939,15350.669,60,3355
2023-08-08 04:00:00,15350.749,15352.789,15318.939,15339.229,60,3373
2023-08-08 05:00:00,15339.449,15345.199,15315.559,15326.309,60,3374
2023-08-08 06:00:00,15327.079,15329.969,15267.619,15289.669,60,3373
2023-08-08 07:00:00,15289.719,15312.189,15237.729,15293.949,60,3351
2023-08-08 08:00:00,15293.449,15306.189,15195.999,15218.299,60,3382
2023-08-08 09:00:00,15218.949,15232.009,15154.519,15155.499,60,1353
2023-08-08 10:00:00,15155.939,15195.149,15145.509,15159.619,60,1340
2023-08-08 11:00:00,15159.707,15216.617,15153.279,15198.429,60,1355
2023-08-08 12:00:00,15198.457,15230.799,15187.229,15225.129,60,1359
2023-08-08 13:00:00,15225.209,15268.609,15210.419,15259.019,60,1364
2023-08-08 14:00:00,15259.089,15293.889,15237.119,15274.599,60,1358
2023-08-08 15:00:00,15273.909,15283.289,15270.509,15278.579,15,1351
2023-08-08 17:00:00,15274.859,15281.549,15267.519,15270.819,60,3446
2023-08-08 18:00:00,15271.209,15276.899,15266.129,15274.809,60,3380
2023-08-08 19:00:00,15274.629,15303.159,15268.049,15293.679,60,3400
2023-08-08 20:00:00,15294.109,15316.899,15290.779,15304.879,60,3389
2023-08-08 21:00:00,15304.857,15312.119,15295.089,15311.219,60,3358
2023-08-08 22:00:00,15311.309,15312.649,15292.529,15295.739,60,3366
2023-08-08 23:00:00,15295.839,15302.599,15291.219,15301.689,60,3374
2023-08-09 00:00:00,15302.209,15320.579,15300.719,15310.739,60,3361
2023-08-09 01:00:00,15310.757,15329.569,15300.369,15324.889,60,3358
2023-08-09 02:00:00,15324.379,15354.389,15308.889,15323.849,60,3345
2023-08-09 03:00:00,15324.119,15348.809,15315.129,15344.109,60,3366
2023-08-09 04:00:00,15344.169,15345.599,15316.239,15322.839,60,3374
2023-08-09 05:00:00,15322.877,15328.989,15303.869,15305.099,60,3383
2023-08-09 06:00:00,15305.389,15325.289,15285.359,15320.289,60,3404
2023-08-09 07:00:00,15319.829,15329.287,15287.569,15294.099,60,3367
2023-08-09 08:00:00,15294.239,15298.619,15187.729,15204.759,60,3379
2023-08-09 09:00:00,15205.809,15226.679,15130.749,15131.789,60,1367
2023-08-09 10:00:00,15131.757,15151.999,15073.549,15093.039,57,1353
2023-08-09 11:00:00,15093.229,15143.887,15088.549,15114.569,60,1345
2023-08-09 12:00:00,15114.819,15188.799,15106.069,15174.029,60,1360
2023-08-09 13:00:00,15174.079,15231.799,15166.279,15197.039,60,1367
2023-08-09 14:00:00,15197.217,15202.079,15092.649,15105.669,60,1359
2023-08-09 15:00:00,15105.657,15135.809,15105.657,15135.259,15,1354
2023-08-09 17:00:00,15126.279,15143.299,15124.319,15138.509,60,3445
2023-08-09 18:00:00,15138.577,15148.089,15126.729,15140.989,60,3373
2023-08-09 19:00:00,15141.309,15158.599,15133.799,15157.579,60,3365
2023-08-09 20:00:00,15157.589,15159.099,15132.249,15137.499,60,3366
2023-08-09 21:00:00,15136.719,15166.799,15134.089,15158.869,60,3375
2023-08-09 22:00:00,15159.019,15165.749,15158.119,15162.199,60,3391
2023-08-09 23:00:00,15162.519,15170.889,15155.509,15155.509,60,3424
2023-08-10 00:00:00,15156.019,15164.789,15143.259,15164.149,60,3383
2023-08-10 01:00:00,15164.239,15180.299,15158.729,15166.619,60,3386
2023-08-10 02:00:00,15166.809,15216.097,15166.349,15200.909,60,3357
2023-08-10 03:00:00,15200.379,15213.819,15184.219,15200.879,60,3362
2023-08-10 04:00:00,15200.289,15212.069,15190.199,15203.689,60,3384
2023-08-10 05:00:00,15204.259,15205.677,15180.219,15191.549,60,3340
2023-08-10 06:00:00,15192.029,15205.799,15178.109,15185.689,60,3381
2023-08-10 07:00:00,15185.399,15282.129,15169.759,15255.089,60,3387
2023-08-10 08:00:00,15254.619,15353.599,15199.507,15350.259,60,3351
2023-08-10 09:00:00,15351.169,15368.669,15235.189,15260.289,60,1344
2023-08-10 10:00:00,15260.289,15266.389,15136.009,15169.109,60,1343
2023-08-10 11:00:00,15168.029,15210.229,15127.829,15143.599,60,1348
2023-08-10 12:00:00,15144.119,15163.589,15066.769,15075.269,60,1351
2023-08-10 13:00:00,15075.359,15176.769,15072.069,15175.109,60,1340
2023-08-10 14:00:00,15174.789,15177.659,15104.899,15130.799,60,1329
2023-08-10 15:00:00,15131.059,15140.039,15122.759,15139.529,15,1354
2023-08-10 17:00:00,15147.829,15164.619,15147.829,15160.379,60,3432
2023-08-10 18:00:00,15160.789,15170.489,15151.339,15167.029,60,3367
2023-08-10 19:00:00,15166.779,15193.989,15165.029,15189.049,60,3352
2023-08-10 20:00:00,15189.389,15193.099,15172.539,15174.549,60,3353
2023-08-10 21:00:00,15174.699,15174.859,15146.409,15153.009,60,3384
2023-08-10 22:00:00,15153.149,15162.349,15133.079,15138.867,60,3341
2023-08-10 23:00:00,15138.689,15140.159,15127.219,15132.219,60,3361
2023-08-11 00:00:00,15132.039,15156.589,15124.609,15150.859,60,3391
2023-08-11 01:00:00,15151.209,15158.899,15129.869,15154.629,60,3373
2023-08-11 02:00:00,15154.637,15169.099,15142.029,15142.539,60,3358
2023-08-11 03:00:00,15143.119,15144.099,15083.319,15099.679,60,3355
2023-08-11 04:00:00,15099.899,15122.619,15070.079,15085.699,60,3396
2023-08-11 05:00:00,15085.637,15114.099,15081.229,15093.369,60,3361
2023-08-11 06:00:00,15094.119,15119.909,15092.349,15101.349,60,3358
2023-08-11 07:00:00,15101.249,15113.789,15011.649,15024.639,59,3353
2023-08-11 08:00:00,15023.509,15046.279,14981.749,15001.889,60,3364
2023-08-11 09:00:00,15000.339,15104.259,15000.327,15031.569,60,1352
2023-08-11 10:00:00,15031.349,15046.879,14969.609,15014.619,60,1362
2023-08-11 11:00:00,15015.099,15051.359,14984.099,14995.879,60,1339
2023-08-11 12:00:00,14995.889,15039.909,14985.539,15016.649,60,1377
2023-08-11 13:00:00,15016.879,15069.989,15012.549,15061.219,60,1364
2023-08-11 14:00:00,15061.207,15063.269,15013.159,15034.597,60,1349
2023-08-11 15:00:00,15033.289,15047.899,15033.239,15046.269,15,1357
2023-08-14 00:00:00,14980.889,15014.289,14980.019,15005.009,60,3359
2023-08-14 01:00:00,15003.579,15021.799,14993.599,15013.399,60,3322
2023-08-14 02:00:00,15014.349,15154.079,15003.729,15129.839,60,3349
2023-08-14 03:00:00,15129.867,15135.199,15076.329,15078.509,60,3292
2023-08-14 04:00:00,15079.519,15089.589,15065.029,15074.119,60,3368
2023-08-14 05:00:00,15074.299,15097.409,15066.489,15085.049,60,3347
2023-08-14 06:00:00,15085.399,15086.089,15049.359,15061.499,60,3353
2023-08-14 07:00:00,15060.609,15062.519,14988.539,15014.269,60,3390
2023-08-14 08:00:00,15013.839,15057.499,14968.709,15047.959,60,3349
2023-08-14 09:00:00,15048.229,15179.369,15033.039,15161.109,60,1340
2023-08-14 10:00:00,15161.869,15177.989,15127.209,15143.939,60,1354
2023-08-14 11:00:00,15143.947,15160.609,15103.909,15146.939,60,1362
2023-08-14 12:00:00,15146.957,15177.259,15136.229,15154.409,60,1372
2023-08-14 13:00:00,15155.389,15158.499,15120.219,15145.989,60,1355
2023-08-14 14:00:00,15146.209,15204.809,15136.739,15204.809,60,1347
2023-08-14 15:00:00,15203.849,15209.099,15195.819,15207.779,15,1416
2023-08-14 17:00:00,15209.359,15246.459,15204.829,15243.809,60,3434
2023-08-14 18:00:00,15244.099,15245.959,15225.749,15231.809,60,3397
2023-08-14 19:00:00,15231.609,15239.989,15224.489,15227.009,60,3390
2023-08-14 20:00:00,15227.039,15265.089,15222.019,15247.989,60,3403
2023-08-14 21:00:00,15248.109,15248.789,15230.359,15236.009,60,3409
2023-08-14 22:00:00,15236.107,15250.869,15234.939,15249.929,60,3392
2023-08-14 23:00:00,15250.059,15257.929,15246.819,15250.299,60,3409
2023-08-15 00:00:00,15250.249,15257.989,15233.309,15240.589,60,3412
2023-08-15 01:00:00,15240.299,15260.699,15214.039,15215.919,60,3431
2023-08-15 02:00:00,15216.189,15225.579,15132.909,15136.489,60,3424
2023-08-15 03:00:00,15136.487,15162.489,15118.299,15159.259,60,3420
2023-08-15 04:00:00,15159.399,15165.079,15134.319,15142.839,60,3445
